raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KPTW 231116Z AUTO 31003KT 8SM OVC029 08/07 A3029 RMK AO2 T00780067,KPTW,2022-10-23T11:16:00Z,40.23,-75.55,7.8,6.7,310,3,,8.0,30.28937,,,TRUE,TRUE,,,,,,,OVC,2900,,,,,,,MVFR,,,,,,,,,,,,SPECI,88.0
KPQL 231116Z AUTO 00000KT 3SM BR CLR 09/08 A3012 RMK AO2 T00890083,KPQL,2022-10-23T11:16:00Z,30.47,-88.53,8.9,8.3,0,0,,3.0,30.121063,,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,MVFR,,,,,,,,,,,,SPECI,4.0
KJYG 231116Z AUTO 14012KT 10SM CLR 15/10 A2955 RMK AO2,KJYG,2022-10-23T11:16:00Z,43.98,-94.55,15.0,10.0,140,12,,10.0,29.551182,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,323.0
KHDN 231116Z AUTO 26014G19KT 3/4SM -SN BR OVC003 00/00 A2950 RMK AO2 UPE1059SNB1059 P0000 FZRANO,KHDN,2022-10-23T11:16:00Z,40.48,-107.22,0.0,0.0,260,14,19,0.75,29.500984,,,TRUE,TRUE,,,,TRUE,,-SN BR,OVC,300,,,,,,,LIFR,,,,,,0.005,,,,,,SPECI,2012.0
KCQM 231116Z AUTO 00000KT 10SM CLR 03/02 A2966 RMK AO2,KCQM,2022-10-23T11:16:00Z,47.82,-92.68,3.0,2.0,0,0,,10.0,29.660433,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,406.0
KBBB 231116Z AUTO 16010G15KT 10SM CLR 12/08 A2952 RMK AO2,KBBB,2022-10-23T11:16:00Z,45.32,-95.65,12.0,8.0,160,10,15,10.0,29.518702,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,315.0
KAUM 231116Z AUTO 15008KT 10SM CLR 15/11 A2966 RMK AO2,KAUM,2022-10-23T11:16:00Z,43.67,-92.92,15.0,11.0,150,8,,10.0,29.660433,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,376.0
K40B 231116Z AUTO 00000KT 01/02 A3032 RMK AO1 SLP280 T00140018 50009,K40B,2022-10-23T11:16:00Z,46.62,-69.52,1.4,1.8,0,0,,,30.318897,1028.0,,TRUE,TRUE,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,METAR,344.0
CYPH 231116Z AUTO 28011G18KT 9SM FEW013 BKN026 01/M01 A2997 RMK SLP152,CYPH,2022-10-23T11:16:00Z,58.47,-78.08,1.0,-1.0,280,11,18,9.0,29.970472,1015.2,,TRUE,,,,,,,,FEW,1300,BKN,2600,,,,,MVFR,,,,,,,,,,,,SPECI,24.0
PAUT 231115Z AUTO 26004KT 10SM OVC032 05/02 A3026 RMK AO2,PAUT,2022-10-23T11:15:00Z,54.13,-165.6,5.0,2.0,260,4,,10.0,30.259842,,,TRUE,TRUE,,,,,,,OVC,3200,,,,,,,VFR,,,,,,,,,,,,SPECI,25.0
PAKX 231115Z AUTO 18003KT 10SM CLR M02/M02 A2990 RMK AO2,PAKX,2022-10-23T11:15:00Z,60.2,-154.32,-2.0,-2.0,180,3,,10.0,29.899607,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,88.0
PABL 231115Z AUTO 17016G24KT 10SM SCT010 BKN047 OVC100 02/M01 A2986 RMK AO2 FZRANO $,PABL,2022-10-23T11:15:00Z,65.98,-161.15,2.0,-1.0,170,16,24,10.0,29.861221,,,TRUE,TRUE,TRUE,,,TRUE,,,SCT,1000,BKN,4700,OVC,10000,,,VFR,,,,,,,,,,,,SPECI,7.0
PAAD 231115Z AUTO 13008KT 7SM OVC009 M08/M08 A3003 RMK AO2 T10761081,PAAD,2022-10-23T11:15:00Z,70.13,-146.28,-7.6,-8.1,130,8,,7.0,30.029528,,,TRUE,TRUE,,,,,,,OVC,900,,,,,,,IFR,,,,,,,,,,,,SPECI,8.0
LMML 231115Z 20005KT 150V240 CAVOK 24/17 Q1026 NOSIG,LMML,2022-10-23T11:15:00Z,35.85,14.47,24.0,17.0,200,5,,6.21,30.295275,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,78.0
KZPH 231115Z AUTO 01004KT 10SM CLR 13/13 A3012 RMK A02 T01320128,KZPH,2022-10-23T11:15:00Z,28.23,-82.15,13.2,12.8,10,4,,10.0,30.121063,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,26.0
KY70 231115Z AUTO 14007KT 10SM CLR 10/10 A3004 RMK AO2 T01040099,KY70,2022-10-23T11:15:00Z,42.93,-85.07,10.4,9.9,140,7,,10.0,30.041338,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,247.0
KY63 231115Z AUTO 12007KT 10SM CLR 12/07 A2952 RMK AO2 T01190072,KY63,2022-10-23T11:15:00Z,45.98,-96.0,11.9,7.2,120,7,,10.0,29.518702,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,367.0
KY51 231115Z AUTO 14009KT 10SM CLR 14/13 A2977 RMK AO1 T01400128,KY51,2022-10-23T11:15:00Z,43.58,-90.9,14.0,12.8,140,9,,10.0,29.769686,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,390.0
KY49 231115Z AUTO 07003KT 10SM CLR 05/05 A2959 RMK AO2 T00530052,KY49,2022-10-23T11:15:00Z,47.15,-94.65,5.3,5.2,70,3,,10.0,29.589567,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,413.0
KY31 231115Z AUTO 00000KT 10SM CLR 04/03 A3006 RMK AO2 T00380028,KY31,2022-10-23T11:15:00Z,44.25,-84.18,3.8,2.8,0,0,,10.0,30.059055,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,264.0
KY23 231115Z AUTO 00000KT 10SM CLR 13/11 A2973 RMK AO2 T01340105,KY23,2022-10-23T11:15:00Z,45.3,-91.63,13.4,10.5,0,0,,10.0,29.731298,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,322.0
KY19 231115Z AUTO 07014G20KT 10SM SCT027 OVC034 06/05 A2945 RMK AO2,KY19,2022-10-23T11:15:00Z,46.77,-100.9,6.0,5.0,70,14,20,10.0,29.450787,,,TRUE,TRUE,,,,,,,SCT,2700,OVC,3400,,,,,VFR,,,,,,,,,,,,METAR,591.0
KXSA 231115Z AUTO 32004KT 10SM SCT025 10/10 A3020 RMK AO2 T01000100,KXSA,2022-10-23T11:15:00Z,37.87,-76.9,10.0,10.0,320,4,,10.0,30.200787,,,TRUE,TRUE,,,,,,,SCT,2500,,,,,,,VFR,,,,,,,,,,,,METAR,41.0
KXNX 231115Z AUTO 00000KT 10SM OVC065 10/09 A3018 RMK A01,KXNX,2022-10-23T11:15:00Z,36.38,-86.42,10.0,9.0,0,0,,10.0,30.180119,,,TRUE,TRUE,,,,,,,OVC,6500,,,,,,,VFR,,,,,,,,,,,,SPECI,178.0
KXLL 231115Z AUTO 00000KT 10SM SCT032 SCT039 07/06 A3030 RMK AO2,KXLL,2022-10-23T11:15:00Z,40.57,-75.48,7.0,6.0,0,0,,10.0,30.301182,,,TRUE,TRUE,,,,,,,SCT,3200,SCT,3900,,,,,VFR,,,,,,,,,,,,METAR,118.0
KXER 231115Z AUTO 14010KT 10SM FEW039 FEW060 25/15 A2995 RMK A01,KXER,2022-10-23T11:15:00Z,,,25.0,15.0,140,10,,10.0,29.949802,,,TRUE,TRUE,,,,,,,FEW,3900,FEW,6000,,,,,VFR,,,,,,,,,,,,METAR,
KX60 231115Z AUTO 00000KT 10SM CLR 09/08 A3014 RMK AO2 T00880082,KX60,2022-10-23T11:15:00Z,29.35,-82.47,8.8,8.2,0,0,,10.0,30.138779,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,21.0
KX07 231115Z AUTO 00000KT 10SM CLR 16/16 A3010 RMK A01,KX07,2022-10-23T11:15:00Z,27.9,-81.62,16.0,16.0,0,0,,10.0,30.100393,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,36.0
KW96 231115Z AUTO 33003KT 10SM BKN024 09/08 A3019 RMK AO1 T00890082,KW96,2022-10-23T11:15:00Z,37.5,-77.12,8.9,8.2,330,3,,10.0,30.188976,,,TRUE,TRUE,,,,,,,BKN,2400,,,,,,,MVFR,,,,,,,,,,,,METAR,35.0
KW81 231115Z AUTO 33004KT 10SM CLR 08/05 A3020 RMK AO1 T00770045,KW81,2022-10-23T11:15:00Z,37.18,-78.1,7.7,4.5,330,4,,10.0,30.200787,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,121.0
KW78 231115Z AUTO 00000KT 10SM CLR 03/03 A3022 RMK AO1 T00310025,KW78,2022-10-23T11:15:00Z,36.7,-78.85,3.1,2.5,0,0,,10.0,30.221457,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,120.0
KW75 231115Z AUTO 32005KT 10SM OVC019 13/12 A3016 RMK AO1 T01300115,KW75,2022-10-23T11:15:00Z,37.6,-76.45,13.0,11.5,320,5,,10.0,30.159449,,,TRUE,TRUE,,,,,,,OVC,1900,,,,,,,MVFR,,,,,,,,,,,,METAR,8.0
KW63 231115Z AUTO 35005KT 10SM CLR 08/08 A3020 RMK AO1,KW63,2022-10-23T11:15:00Z,36.6,-78.55,8.0,8.0,350,5,,10.0,30.200787,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,126.0
KW31 231115Z AUTO 10SM CLR 08/07 A3020 RMK AO1 T00830069,KW31,2022-10-23T11:15:00Z,36.95,-78.18,8.3,6.9,,,,10.0,30.200787,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,159.0
KW13 231115Z AUTO 10SM CLR 02/01 A3025 RMK AO1 T00150012,KW13,2022-10-23T11:15:00Z,38.08,-78.95,1.5,1.2,,,,10.0,30.250984,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,440.0
KVYS 231115Z AUTO 15011KT 10SM CLR 15/11 A2986 RMK AO2 T01480107,KVYS,2022-10-23T11:15:00Z,41.35,-89.15,14.8,10.7,150,11,,10.0,29.861221,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,198.0
KVWU 231115Z AUTO 07005KT 10SM CLR 05/03 A2960 RMK AO2,KVWU,2022-10-23T11:15:00Z,48.15,-94.52,5.0,3.0,70,5,,10.0,29.601377,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,359.0
KVVV 231115Z 13008KT 10SM 09/06 A2948 RMK AO2,KVVV,2022-10-23T11:15:00Z,45.3,-96.42,9.0,6.0,130,8,,10.0,29.480314,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,334.0
KVVS 231115Z AUTO 07004KT 10SM CLR 07/02 A3025 RMK AO2 T00720022,KVVS,2022-10-23T11:15:00Z,39.95,-79.65,7.2,2.2,70,4,,10.0,30.250984,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,386.0
KVTP 231115Z AUTO 25019G33KT 10SM SCT021 BKN036 OVC055 M06/M12 A2967 RMK AO2,KVTP,2022-10-23T11:15:00Z,37.5,-105.17,-6.0,-12.0,250,19,33,10.0,29.66929,,,TRUE,TRUE,,,,,,,SCT,2100,BKN,3600,OVC,5500,,,VFR,,,,,,,,,,,,METAR,3086.0
KVTI 231115Z AUTO 14010G16KT 10SM CLR 16/11 A2971 RMK AO2 T01600110,KVTI,2022-10-23T11:15:00Z,42.22,-92.02,16.0,11.0,140,10,16,10.0,29.71063,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,256.0
KVNW 231115Z AUTO 16005KT 10SM CLR 13/08 A3011 RMK AO2,KVNW,2022-10-23T11:15:00Z,40.87,-84.62,13.0,8.0,160,5,,10.0,30.109253,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,238.0
KVLL 231115Z AUTO 00000KT 10SM CLR 09/07 A3015 RMK AO2 T00850073,KVLL,2022-10-23T11:15:00Z,42.55,-83.18,8.5,7.3,0,0,,10.0,30.15059,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,214.0
KVJI 231115Z AUTO 00000KT 10SM CLR 06/01 A3024 RMK AO2 T00570009,KVJI,2022-10-23T11:15:00Z,36.68,-82.03,5.7,0.9,0,0,,10.0,30.239174,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,636.0
KVHN 231115Z AUTO 23009KT 10SM CLR 17/07 A2986 RMK AO2 T01750075,KVHN,2022-10-23T11:15:00Z,31.07,-104.78,17.5,7.5,230,9,,10.0,29.861221,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1200.0
KVGC 231115Z AUTO 14003KT 7SM CLR 00/ A3031 RMK AO2,KVGC,2022-10-23T11:15:00Z,42.85,-75.57,0.0,,140,3,,7.0,30.31004,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,346.0
KVER 231115Z AUTO 14011G14KT 10SM CLR 19/14 A2971 RMK AO2 T01920142,KVER,2022-10-23T11:15:00Z,38.95,-92.68,19.2,14.2,140,11,14,10.0,29.71063,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,209.0
KVDF 231115Z AUTO 03003KT 10SM CLR 16/14 A3011 RMK AO2,KVDF,2022-10-23T11:15:00Z,28.02,-82.33,16.0,14.0,30,3,,10.0,30.109253,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,5.0
KVCV 231115Z AUTO 27011G18KT 10SM FEW048 11/05 A2983 RMK AO2,KVCV,2022-10-23T11:15:00Z,34.58,-117.38,11.0,5.0,270,11,18,10.0,29.828741,,,TRUE,TRUE,,,,,,,FEW,4800,,,,,,,VFR,,,,,,,,,,,,METAR,871.0
KVAF 231115Z AUTO 20016G22KT 10SM SCT037 BKN045 26/17 A2994 RMK A01,KVAF,2022-10-23T11:15:00Z,27.35,-94.63,26.0,17.0,200,16,22,10.0,29.940945,,,TRUE,TRUE,,,,,,,SCT,3700,BKN,4500,,,,,VFR,,,,,,,,,,,,METAR,38.0
KUXL 231115Z AUTO 09005KT 10SM CLR 18/17 A3000 RMK AO2 T01810170,KUXL,2022-10-23T11:15:00Z,30.13,-93.38,18.1,17.0,90,5,,10.0,30.0,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,2.0
KUVA 231115Z AUTO 07004KT 7SM CLR 17/17 A2986 RMK AO2 T01670167,KUVA,2022-10-23T11:15:00Z,29.22,-99.75,16.7,16.7,70,4,,7.0,29.861221,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,285.0
KUTA 231115Z AUTO 16012KT 10SM CLR 16/14 A3004 RMK AO2 T01650136 $,KUTA,2022-10-23T11:15:00Z,34.68,-90.35,16.5,13.6,160,12,,10.0,30.041338,,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,58.0
KUSE 231115Z AUTO 15004KT 10SM CLR 10/10 A3011 RMK AO2,KUSE,2022-10-23T11:15:00Z,41.62,-84.13,10.0,10.0,150,4,,10.0,30.109253,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,237.0
KUOX 231115Z AUTO 14004KT 10SM CLR 14/12 A3010 RMK AO2 PWINO,KUOX,2022-10-23T11:15:00Z,34.38,-89.53,14.0,12.0,140,4,,10.0,30.100393,,,TRUE,TRUE,,,,,TRUE,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,123.0
KUNU 231115Z AUTO 13008KT 10SM CLR 13/11 A2988 RMK AO2 T01250111,KUNU,2022-10-23T11:15:00Z,43.42,-88.7,12.5,11.1,130,8,,10.0,29.878937,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,281.0
KULM 231115Z AUTO 14012KT 10SM CLR 15/08 A2955 RMK AO2,KULM,2022-10-23T11:15:00Z,44.32,-94.5,15.0,8.0,140,12,,10.0,29.551182,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,305.0
KUKT 231115Z AUTO 00000KT 10SM BKN029 OVC034 09/09 A3028 RMK A01,KUKT,2022-10-23T11:15:00Z,40.43,-75.38,9.0,9.0,0,0,,10.0,30.280512,,,TRUE,TRUE,,,,,,,BKN,2900,OVC,3400,,,,,MVFR,,,,,,,,,,,,METAR,156.0
KUCY 231115Z AUTO 17015KT 10SM OVC055 18/12 A3002 RMK A01,KUCY,2022-10-23T11:15:00Z,36.38,-88.98,18.0,12.0,170,15,,10.0,30.02067,,,TRUE,TRUE,,,,,,,OVC,5500,,,,,,,VFR,,,,,,,,,,,,METAR,97.0
KUBE 231115Z AUTO 13008KT 10SM CLR 13/11 A2971 RMK AO2,KUBE,2022-10-23T11:15:00Z,45.5,-91.98,13.0,11.0,130,8,,10.0,29.71063,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,376.0
KU68 231115Z AUTO 33011KT 10SM BKN050 OVC075 04/02 A2946 RMK AO2,KU68,2022-10-23T11:15:00Z,44.92,-108.45,4.0,2.0,330,11,,10.0,29.459646,,,TRUE,TRUE,,,,,,,BKN,5000,OVC,7500,,,,,VFR,,,,,,,,,,,,METAR,1244.0
KU55 231115Z AUTO 02006KT 10SM M01/M01 A2963 RMK A01,KU55,2022-10-23T11:15:00Z,37.85,-112.38,-1.0,-1.0,20,6,,10.0,29.630905,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,2060.0
KU42 231115Z AUTO 30004KT 5SM SCT004 BKN010 OVC017 01/01 A2962 RMK AO1 P0001 T00100010,KU42,2022-10-23T11:15:00Z,40.62,-111.98,1.0,1.0,300,4,,5.0,29.619095,,,TRUE,TRUE,,,,,,,SCT,400,BKN,1000,OVC,1700,,,MVFR,,,,,,0.01,,,,,,METAR,1399.0
KTYQ 231115Z AUTO 15008KT 10SM CLR 14/10 A3007 RMK AO2 T01380103,KTYQ,2022-10-23T11:15:00Z,40.03,-86.25,13.8,10.3,150,8,,10.0,30.070866,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,279.0
KTYL 231115Z AUTO 21018G29KT 10SM SCT034 BKN042 BKN055 11/05 A2974 RMK AO2,KTYL,2022-10-23T11:15:00Z,34.45,-110.12,11.0,5.0,210,18,29,10.0,29.740158,,,TRUE,TRUE,,,,,,,SCT,3400,BKN,4200,BKN,5500,,,VFR,,,,,,,,,,,,METAR,1748.0
KTWT 231115Z AUTO 15011G17KT 10SM CLR 16/10 A3005 RMK AO2,KTWT,2022-10-23T11:15:00Z,37.55,-87.95,16.0,10.0,150,11,17,10.0,30.050198,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,113.0
KTWM 231115Z AUTO 04005KT 10SM CLR 07/06 A2971 RMK AO2,KTWM,2022-10-23T11:15:00Z,47.05,-91.75,7.0,6.0,40,5,,10.0,29.71063,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,331.0
KTVY 231115Z AUTO 05012G15KT 7SM -RA SCT009 OVC018 02/01 A2963 RMK AO2,KTVY,2022-10-23T11:15:00Z,40.62,-112.35,2.0,1.0,50,12,15,7.0,29.630905,,,TRUE,TRUE,,,,,,-RA,SCT,900,OVC,1800,,,,,MVFR,,,,,,,,,,,,METAR,1310.0
KTTF 231115Z AUTO 15003KT 10SM CLR 10/08 A3013 RMK AO2 T01020076,KTTF,2022-10-23T11:15:00Z,41.93,-83.42,10.2,7.6,150,3,,10.0,30.129921,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,186.0
KTTA 231115Z AUTO 00000KT 10SM CLR 05/05 A3019 RMK AO2 T00510051,KTTA,2022-10-23T11:15:00Z,35.58,-79.1,5.1,5.1,0,0,,10.0,30.188976,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,71.0
KTQV 231115Z AUTO 35007KT 10SM CLR 10/07 A3020 RMK A01,KTQV,2022-10-23T11:15:00Z,36.0,-78.93,10.0,7.0,350,7,,10.0,30.200787,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,230.0
KTQH 231115Z AUTO 16009G16KT 10SM CLR 20/12 A2979 RMK AO2,KTQH,2022-10-23T11:15:00Z,35.93,-95.0,20.0,12.0,160,9,16,10.0,29.790354,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,265.0
KTOB 231115Z AUTO 14011KT 10SM CLR 13/08 A2967 RMK AO2,KTOB,2022-10-23T11:15:00Z,44.02,-92.82,13.0,8.0,140,11,,10.0,29.66929,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,394.0
KTNU 231115Z AUTO 14011KT 10SM CLR 15/13 A2964 RMK A01,KTNU,2022-10-23T11:15:00Z,41.67,-93.02,15.0,13.0,140,11,,10.0,29.639763,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,287.0
KTMT 231115Z AUTO 00000KT 10SM SCT038 OVC045 M02/M04 A2984 RMK AO2 T10251040,KTMT,2022-10-23T11:15:00Z,39.47,-117.2,-2.5,-4.0,0,0,,10.0,29.840551,,,TRUE,TRUE,,,,,,,SCT,3800,OVC,4500,,,,,VFR,,,,,,,,,,,,METAR,1748.0
KTME 231115Z AUTO 14005KT 10SM 20/19 A2992 RMK AO2,KTME,2022-10-23T11:15:00Z,29.8,-95.9,20.0,19.0,140,5,,10.0,29.920275,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,49.0
KTKX 231115Z AUTO 18010KT 9SM FEW045 17/14 A2997 RMK AO2 TSNO,KTKX,2022-10-23T11:15:00Z,36.22,-90.03,17.0,14.0,180,10,,9.0,29.970472,,,TRUE,TRUE,,,TRUE,,,,FEW,4500,,,,,,,VFR,,,,,,,,,,,,METAR,73.0
