No errors
No warnings
312 ms
data source=metars
4685 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KBKB 220252Z AUTO VRB03KT 10SM CLR 19/14 A3000 RMK AO2 SLP186 T01940144 51021 ,KBKB,2022-10-22T02:52:00Z,31.02,-92.92,19.4,14.4,0,3,,10.0,30.0,1018.6,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,2.1,,,,,,,,,,,METAR,74.0
KBAN 220252Z AUTO 23007KT 10SM CLR 13/M06 A3000 RMK AO2 SLP130 T01331056 55008 $ ,KBAN,2022-10-22T02:52:00Z,38.35,-119.52,13.3,-5.6,230,7,,10.0,30.0,1013.0,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,-0.8,,,,,,,,,,,METAR,2067.0
YMHB 220251Z 15012KT 7000 -RA FEW006 SCT009 BKN015 15/14 Q1006 RERA,YMHB,2022-10-22T02:51:00Z,-42.83,147.52,15.0,14.0,150,12,,4.35,29.704725,,,,,,,,,,-RA,FEW,600,SCT,900,BKN,1500,,,MVFR,,,,,,,,,,,,SPECI,2.0
PHBK 220251Z AUTO 16008G16KT 10SM CLR 29/20 A2994 RMK AO2 SLP139 T02940200 56004 ,PHBK,2022-10-22T02:51:00Z,22.03,-159.78,29.4,20.0,160,8,16,10.0,29.940945,1013.9,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,-0.4,,,,,,,,,,,METAR,5.0
PFEL 220251Z AUTO 23005KT 7SM -SN BKN010 OVC017 01/M01 A2974 RMK AO2 RAE12UPB12E36SNB36 P0005 FZRANO,PFEL,2022-10-22T02:51:00Z,64.62,-162.27,1.0,-1.0,230,5,,7.0,29.740158,,,TRUE,TRUE,,,,TRUE,,-SN,BKN,1000,OVC,1700,,,,,MVFR,,,,,,0.05,,,,,,SPECI,50.0
PASD 220251Z 17005KT 10SM FEW030 SCT042 OVC080 08/03 A3010 RMK AO2 LAST PNO $,PASD,2022-10-22T02:51:00Z,55.33,-160.52,8.0,3.0,170,5,,10.0,30.100393,,,,TRUE,TRUE,,,,,,FEW,3000,SCT,4200,OVC,8000,,,VFR,,,,,,,,,,,,SPECI,6.0
PAMD 220251Z AUTO 30011KT 10SM CLR 08/00 A2975 RMK AO2 SLP063 6//// T00780000 53020 PNO $,PAMD,2022-10-22T02:51:00Z,59.43,-146.3,7.8,0.0,300,11,,10.0,29.749016,1006.3,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,2.0,,,,,,,,,,,METAR,20.0
MUGM 220251Z 32005KT 10SM FEW025 SCT150 BKN180 26/24 A2994 RMK AO2 SLP138 T02610244 51010 $ ,MUGM,2022-10-22T02:51:00Z,19.9,-75.2,26.1,24.4,320,5,,10.0,29.940945,1013.8,,,TRUE,TRUE,,,,,,FEW,2500,SCT,15000,BKN,18000,,,VFR,1.0,,,,,,,,,,,METAR,21.0
KTPL 220251Z AUTO 17011KT 10SM CLR 22/09 A2991 RMK AO2 SLP119 6//// T02170094 51010,KTPL,2022-10-22T02:51:00Z,31.15,-97.4,21.7,9.4,170,11,,10.0,29.911417,1011.9,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,1.0,,,,,,,,,,,METAR,206.0
KSNT 220251Z AUTO 14005KT 05/03 A2974 RMK AO1 SLP031 P0005 60006 T00500033 58005 ,KSNT,2022-10-22T02:51:00Z,44.17,-114.93,5.0,3.3,140,5,,,29.740158,1003.1,,TRUE,TRUE,,,,,,,,,,,,,,,,-0.5,,,,,0.05,0.06,,,,,METAR,1980.0
KSLK 220251Z AUTO 23005KT 10SM CLR 07/M02 A3004 RMK AO2 SLP178 T00721017 52006,KSLK,2022-10-22T02:51:00Z,44.4,-74.2,7.2,-1.7,230,5,,10.0,30.041338,1017.8,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,0.6,,,,,,,,,,,METAR,502.0
KOXC 220251Z AUTO 00000KT 10SM CLR 08/05 A3019 RMK AO2 SLP237 T00830050 53012,KOXC,2022-10-22T02:51:00Z,41.47,-73.13,8.3,5.0,0,0,,10.0,30.188976,1023.7,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,1.2,,,,,,,,,,,METAR,211.0
KOCF 220251Z AUTO 36003KT 10SM CLR 13/07 A3013 RMK AO2 SLP202 6//// T01280067 51017 PNO $,KOCF,2022-10-22T02:51:00Z,29.17,-82.22,12.8,6.7,360,3,,10.0,30.129921,1020.2,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,1.7,,,,,,,,,,,METAR,24.0
KNYC 220251Z AUTO VRB04KT 10SM CLR 13/03 A3020 RMK AO2 SLP219 T01280033 53013 $ ,KNYC,2022-10-22T02:51:00Z,40.78,-73.97,12.8,3.3,0,4,,10.0,30.200787,1021.9,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,1.3,,,,,,,,,,,METAR,33.0
KNRS 220251Z AUTO 19003KT 10SM SCT020 19/16 A2989 RMK AO2 $ ,KNRS,2022-10-22T02:51:00Z,32.57,-117.12,19.0,16.0,190,3,,10.0,29.890747,,,TRUE,TRUE,TRUE,,,,,,SCT,2000,,,,,,,VFR,,,,,,,,,,,,SPECI,15.0
KGDP 220251Z AUTO 23020G28KT 10SM CLR 18/07 A3004 RMK AO2 PK WND 24028/0246 SLP118 T01780067 50009 ,KGDP,2022-10-22T02:51:00Z,31.83,-104.82,17.8,6.7,230,20,28,10.0,30.041338,1011.8,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,0.9,,,,,,,,,,,METAR,1664.0
KCDJ 220251Z AUTO 19009G16KT 24/03 A2966 RMK AO1 SLP034 T02440033 51006 $ ,KCDJ,2022-10-22T02:51:00Z,39.82,-93.57,24.4,3.3,190,9,16,,29.660433,1003.4,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,0.6,,,,,,,,,,,METAR,234.0
KBOK 220251Z AUTO 14004KT 3SM -RA BR OVC004 12/12 A2986 RMK AO2 CIG 003V008 P0001 $,KBOK,2022-10-22T02:51:00Z,42.07,-124.28,12.0,12.0,140,4,,3.0,29.861221,,,TRUE,TRUE,TRUE,,,,,-RA BR,OVC,400,,,,,,,LIFR,,,,,,0.01,,,,,,SPECI,140.0
KATT 220251Z AUTO VRB06KT 10SM CLR 23/12 A2994 RMK AO2 SLP131 T02280117 51014 ,KATT,2022-10-22T02:51:00Z,30.32,-97.77,22.8,11.7,0,6,,10.0,29.940945,1013.1,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,1.4,,,,,,,,,,,METAR,203.0
YMAY 220250Z AUTO 26018KT 3000 TS SCT012 SCT025 BKN033 17/16 Q1008,YMAY,2022-10-22T02:50:00Z,-36.07,146.95,17.0,16.0,260,18,,1.86,29.763779,,,TRUE,,,,,,,TS,SCT,1200,SCT,2500,BKN,3300,,,IFR,,,,,,,,,,,,SPECI,156.0
PTRO 220250Z 08009KT 13SM BKN014CB BKN120 BKN300 29/25 A2980 RMK CB ALQDS,PTRO,2022-10-22T02:50:00Z,7.37,134.55,29.0,25.0,80,9,,13.0,29.799213,,,,,,,,,,,BKN,1400,BKN,12000,BKN,30000,,,MVFR,,,,,,,,,,,,METAR,30.0
NSTU 220250Z 09014G20KT 12SM FEW018 SCT040 SCT120 30/25 A2979 RMK SLP086 8/870 T03010249 57024,NSTU,2022-10-22T02:50:00Z,-14.33,-170.72,30.1,24.9,90,14,20,12.0,29.790354,1008.6,,,,,,,,,,FEW,1800,SCT,4000,SCT,12000,,,VFR,-2.4,,,,,,,,,,,METAR,8.0
LSZS 220250Z AUTO 02007KT 7000 +RA SCT024 BKN034 07/07 Q1018,LSZS,2022-10-22T02:50:00Z,46.53,9.88,7.0,7.0,20,7,,4.35,30.059055,,,TRUE,,,,,,,+RA,SCT,2400,BKN,3400,,,,,MVFR,,,,,,,,,,,,METAR,1708.0
LSZR 220250Z AUTO 13006KT 100V170 9999 -RA FEW047 SCT080 BKN090 13/12 Q1017,LSZR,2022-10-22T02:50:00Z,47.48,9.57,13.0,12.0,130,6,,6.21,30.029528,,,TRUE,,,,,,,-RA,FEW,4700,SCT,8000,BKN,9000,,,VFR,,,,,,,,,,,,METAR,396.0
LSZL 220250Z AUTO 28004KT 250V320 9000NDV -RA BKN003 BKN048 16/15 Q1015 RERA RMK,LSZL,2022-10-22T02:50:00Z,46.17,8.88,16.0,15.0,280,4,,,29.970472,,,TRUE,,,,,,,-RA,BKN,300,BKN,4800,,,,,,,,,,,,,,,,,METAR,198.0
LSZH 220250Z AUTO VRB01KT 9000 RA FEW003 BKN015 13/13 Q1016 NOSIG,LSZH,2022-10-22T02:50:00Z,47.48,8.53,13.0,13.0,0,1,,5.59,30.0,,,TRUE,,,TRUE,,,,RA,FEW,300,BKN,1500,,,,,MVFR,,,,,,,,,,,,METAR,424.0
LSZG 220250Z AUTO 30001KT 9999 -RA BKN012 BKN014 14/14 Q1016,LSZG,2022-10-22T02:50:00Z,47.17,7.42,14.0,14.0,300,1,,6.21,30.0,,,TRUE,,,,,,,-RA,BKN,1200,BKN,1400,,,,,MVFR,,,,,,,,,,,,METAR,428.0
LSZC 220250Z AUTO VRB03KT 7000 RA BKN055 14/13 Q1017,LSZC,2022-10-22T02:50:00Z,46.97,8.38,14.0,13.0,0,3,,4.35,30.029528,,,TRUE,,,,,,,RA,BKN,5500,,,,,,,MVFR,,,,,,,,,,,,METAR,445.0
LSZB 220250Z AUTO 14004KT 100V190 9999 -RA BKN070 13/13 Q1016,LSZB,2022-10-22T02:50:00Z,46.92,7.5,13.0,13.0,140,4,,6.21,30.0,,,TRUE,,,,,,,-RA,BKN,7000,,,,,,,VFR,,,,,,,,,,,,METAR,510.0
LSZA 220250Z AUTO VRB01KT 3600 -RA BKN009 SCT150 15/15 Q1015,LSZA,2022-10-22T02:50:00Z,46.0,8.92,15.0,15.0,0,1,,2.24,29.970472,,,TRUE,,,,,,,-RA,BKN,900,SCT,15000,,,,,IFR,,,,,,,,,,,,METAR,276.0
LSGS 220250Z AUTO 36001KT 9999 -RA BKN/// 13/13 Q1018,LSGS,2022-10-22T02:50:00Z,46.22,7.32,13.0,13.0,360,1,,6.21,30.059055,,,TRUE,,,,,,,-RA,,,,,,,,,,,,,,,,,,,,,METAR,482.0
LSGG 220250Z AUTO 26002KT 9999 -RA SCT038 SCT050 BKN060 14/13 Q1017 NOSIG,LSGG,2022-10-22T02:50:00Z,46.25,6.12,14.0,13.0,260,2,,6.21,30.029528,,,TRUE,,,TRUE,,,,-RA,SCT,3800,SCT,5000,BKN,6000,,,VFR,,,,,,,,,,,,METAR,411.0
LSGC 220250Z AUTO 20001KT 9999 -RA BKN014 BKN016 11/11 Q1017,LSGC,2022-10-22T02:50:00Z,47.08,6.8,11.0,11.0,200,1,,6.21,30.029528,,,TRUE,,,,,,,-RA,BKN,1400,BKN,1600,,,,,MVFR,,,,,,,,,,,,METAR,1018.0
LLHA 220250Z AUTO VRB02KT 9999 FEW031 20/17 Q1015 RMK SCT110,LLHA,2022-10-22T02:50:00Z,32.8,35.03,20.0,17.0,0,2,,6.21,29.970472,,,TRUE,,,,,,,,FEW,3100,,,,,,,VFR,,,,,,,,,,,,METAR,3.0
LLBG 220250Z VRB02KT 9999 FEW030 21/17 Q1015 NOSIG RMK SCT100,LLBG,2022-10-22T02:50:00Z,32.0,34.88,21.0,17.0,0,2,,6.21,29.970472,,,,,,TRUE,,,,,FEW,3000,,,,,,,VFR,,,,,,,,,,,,METAR,35.0
LATI 220250Z VRB03KT 9000 MIFG NSC 10/08 Q1023 NOSIG,LATI,2022-10-22T02:50:00Z,41.42,19.72,10.0,8.0,0,3,,5.59,30.206694,,,,,,TRUE,,,,MIFG,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,32.0
KVQQ 220250Z 00000KT 10SM CLR 07/07 A3013,KVQQ,2022-10-22T02:50:00Z,30.22,-81.88,7.0,7.0,0,0,,10.0,30.129921,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,21.0
KRYY 220250Z AUTO 00000KT 10SM CLR 09/05 A3016 RMK AO2 SLP209 T00890050 53015 $,KRYY,2022-10-22T02:50:00Z,34.02,-84.6,8.9,5.0,0,0,,10.0,30.159449,1020.9,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,1.5,,,,,,,,,,,METAR,306.0
KQFX 220250Z AUTO 19002KT 6000 CLR 18/16 / RMK A02 TSNO,KQFX,2022-10-22T02:50:00Z,,,18.0,16.0,190,2,,3.73,,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,
KQFV 220250Z AUTO 22003KT 9999 CLR 17/07 A3019 RMK A02 TSNO,KQFV,2022-10-22T02:50:00Z,,,17.0,7.0,220,3,,6.21,30.188976,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQFU 220250Z AUTO 05001KT 9999 FEW027 17/09 A3022 RMK A02 TSNO,KQFU,2022-10-22T02:50:00Z,,,17.0,9.0,50,1,,6.21,30.221457,,,TRUE,TRUE,,,TRUE,,,,FEW,2700,,,,,,,VFR,,,,,,,,,,,,METAR,
KQFT 220250Z AUTO 21001KT 9999 CLR 18/09 A3017 RMK A02 TSNO,KQFT,2022-10-22T02:50:00Z,,,18.0,9.0,210,1,,6.21,30.171259,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQFB 220250Z AUTO 34002KT 9999 CLR 21/09 A3018 RMK A02 TSNO,KQFB,2022-10-22T02:50:00Z,,,21.0,9.0,340,2,,6.21,30.180119,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQEW 220250Z AUTO 22002G10KT 4800 // CLR 18/08 A3015 RMK A02 TSNO,KQEW,2022-10-22T02:50:00Z,,,18.0,8.0,220,2,10,2.98,30.15059,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,IFR,,,,,,,,,,,,METAR,
KQEV 220250Z AUTO 23003KT 9999 CLR 19/11 A3015 RMK A02 TSNO,KQEV,2022-10-22T02:50:00Z,,,19.0,11.0,230,3,,6.21,30.15059,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQEQ 220250Z AUTO 36002KT 9999 CLR 16/10 A3022 RMK A02 TSNO,KQEQ,2022-10-22T02:50:00Z,,,16.0,10.0,360,2,,6.21,30.221457,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQEP 220250Z AUTO 23004KT 9999 CLR 18/08 A3020 RMK A02 TSNO,KQEP,2022-10-22T02:50:00Z,,,18.0,8.0,230,4,,6.21,30.200787,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQEN 220250Z AUTO 24006G13KT 9999 // CLR / / RMK A02 TSNO,KQEN,2022-10-22T02:50:00Z,,,,,240,6,13,6.21,,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQEJ 220250Z AUTO 24002KT 9999 // CLR 21/21 / RMK A02 TSNO,KQEJ,2022-10-22T02:50:00Z,,,21.0,21.0,240,2,,6.21,,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQEI 220250Z AUTO 19001KT 9999 CLR 17/04 A3015 RMK A02 TSNO,KQEI,2022-10-22T02:50:00Z,,,17.0,4.0,190,1,,6.21,30.15059,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KOQU 220250Z 00000KT 10SM SKC 12/07 A3021 RMK LAST,KOQU,2022-10-22T02:50:00Z,41.6,-71.42,12.0,7.0,0,0,,10.0,30.209646,,,,,,,,,,,SKC,,,,,,,,VFR,,,,,,,,,,,,METAR,6.0
KNQA 220250Z 16007KT 10SM CLR 20/10 A2992,KNQA,2022-10-22T02:50:00Z,35.35,-89.87,20.0,10.0,160,7,,10.0,29.920275,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,90.0
KJQF 220250Z 00000KT 10SM CLR 07/03 A3019,KJQF,2022-10-22T02:50:00Z,35.38,-80.72,7.0,3.0,0,0,,10.0,30.188976,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,204.0
KDAG 220250Z AUTO 21006KT 10SM CLR 26/M01 A2981 RMK AO2 SLP074 T02561006 55000,KDAG,2022-10-22T02:50:00Z,34.85,-116.78,25.6,-0.6,210,6,,10.0,29.811024,1007.4,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,0.0,,,,,,,,,,,METAR,584.0
KALN 220250Z 17015KT 10SM CLR 19/07 A2983,KALN,2022-10-22T02:50:00Z,38.88,-90.03,19.0,7.0,170,15,,10.0,29.828741,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,159.0
KADM 220250Z 17013G18KT 10SM CLR 24/07 A2976,KADM,2022-10-22T02:50:00Z,34.3,-97.02,24.0,7.0,170,13,18,10.0,29.760826,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,223.0
EYVI 220250Z 13005KT CAVOK 04/01 Q1015 NOSIG,EYVI,2022-10-22T02:50:00Z,54.63,25.28,4.0,1.0,130,5,,6.21,29.970472,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,180.0
EYSA 220250Z 13006KT CAVOK 01/01 Q1014 NOSIG,EYSA,2022-10-22T02:50:00Z,55.9,23.4,1.0,1.0,130,6,,6.21,29.940945,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,135.0
EYPA 220250Z 11005KT CAVOK 05/03 Q1012,EYPA,2022-10-22T02:50:00Z,55.97,21.08,5.0,3.0,110,5,,6.21,29.88189,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,15.0
EYKA 220250Z 13006KT CAVOK 06/02 Q1014,EYKA,2022-10-22T02:50:00Z,54.97,24.08,6.0,2.0,130,6,,6.21,29.940945,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,68.0
EVVA 220250Z AUTO 12004KT CAVOK 02/02 Q1013,EVVA,2022-10-22T02:50:00Z,57.35,21.55,2.0,2.0,120,4,,6.21,29.911417,,,TRUE,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,1.0
EVRA 220250Z VRB01KT CAVOK 03/02 Q1015 NOSIG,EVRA,2022-10-22T02:50:00Z,56.92,23.97,3.0,2.0,0,1,,6.21,29.970472,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,7.0
EVLA 220250Z AUTO 10004KT CAVOK 03/02 Q1012,EVLA,2022-10-22T02:50:00Z,56.52,21.1,3.0,2.0,100,4,,6.21,29.88189,,,TRUE,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,5.0
ENZV 220250Z AUTO 20002KT 9999 OVC027/// 10/06 Q1008,ENZV,2022-10-22T02:50:00Z,58.88,5.63,10.0,6.0,200,2,,6.21,29.763779,,,TRUE,,,,,,,,OVC,2700,,,,,,,MVFR,,,,,,,,,,,,METAR,7.0
ENVA 220250Z AUTO 10005KT 9999 NCD M01/M02 Q1009 RMK WIND 670FT 16007KT,ENVA,2022-10-22T02:50:00Z,63.47,10.92,-1.0,-2.0,100,5,,6.21,29.793306,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,12.0
ENTO 220250Z AUTO 36010KT 9999 SCT009/// BKN012/// OVC016/// 04/03 Q1011,ENTO,2022-10-22T02:50:00Z,59.2,10.27,4.0,3.0,360,10,,6.21,29.852362,,,TRUE,,,,,,,,SCT,900,BKN,1200,OVC,1600,,,MVFR,,,,,,,,,,,,METAR,84.0
ENTC 220250Z AUTO 22019KT 9999 FEW020/// OVC029/// 06/04 Q1000 RMK WIND 2600FT 22017KT,ENTC,2022-10-22T02:50:00Z,69.68,18.92,6.0,4.0,220,19,,6.21,29.52756,,,TRUE,,,,,,,,FEW,2000,OVC,2900,,,,,MVFR,,,,,,,,,,,,METAR,9.0
ENSB 220250Z 12019KT 9999 FEW030 M05/M10 Q1004 RMK WIND 1400FT 11026KT,ENSB,2022-10-22T02:50:00Z,78.25,15.47,-5.0,-10.0,120,19,,6.21,29.64567,,,,,,,,,,,FEW,3000,,,,,,,VFR,,-2.6,,,,,,,,,,METAR,30.0
ENRY 220250Z AUTO 36007KT 9999NDV BKN012/// OVC014/// 04/03 Q1011,ENRY,2022-10-22T02:50:00Z,59.37,10.77,4.0,3.0,360,7,,,29.852362,,,TRUE,,,,,,,,BKN,1200,OVC,1400,,,,,,,,,,,,,,,,,METAR,45.0
ENRO 220250Z AUTO 00000KT 9999 OVC003 M05/M05 Q1009,ENRO,2022-10-22T02:50:00Z,62.57,11.33,-5.0,-5.0,0,0,,6.21,29.793306,,,TRUE,,,,,,,,OVC,300,,,,,,,LIFR,,,,,,,,,,,,METAR,624.0
ENOL 220250Z 13005KT CAVOK 04/01 Q1008,ENOL,2022-10-22T02:50:00Z,63.7,9.6,4.0,1.0,130,5,,6.21,29.763779,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,9.0
ENHD 220250Z AUTO 10003KT 9999 FEW020/// OVC032/// 09/08 Q1008,ENHD,2022-10-22T02:50:00Z,59.35,5.22,9.0,8.0,100,3,,6.21,29.763779,,,TRUE,,,,,,,,FEW,2000,OVC,3200,,,,,VFR,,,,,,,,,,,,METAR,22.0
ENGM 220250Z 03004KT 9999 OVC022 03/01 Q1011,ENGM,2022-10-22T02:50:00Z,60.2,11.07,3.0,1.0,30,4,,6.21,29.852362,,,,,,,,,,,OVC,2200,,,,,,,MVFR,,,,,,,,,,,,METAR,204.0
ENDU 220250Z 19006KT 140V220 9999 VCSH FEW015 SCT035 BKN050 06/02 Q1001 RMK WIND 1100FT 21018KT WIND 2200FT 21017KT,ENDU,2022-10-22T02:50:00Z,69.05,18.55,6.0,2.0,190,6,,6.21,29.557087,,,,,,,,,,VCSH,FEW,1500,SCT,3500,BKN,5000,,,VFR,,,-1.8,,,,,,,,,METAR,65.0
ENCN 220250Z AUTO 05009KT 9999 OVC018/// 07/04 Q1010,ENCN,2022-10-22T02:50:00Z,58.2,8.07,7.0,4.0,50,9,,6.21,29.822834,,,TRUE,,,,,,,,OVC,1800,,,,,,,MVFR,,,,,,,,,,,,METAR,17.0
ENBR 220250Z AUTO 04003KT 8000 -DZ BKN019/// OVC038/// 08/07 Q1008 REUP RMK WIND 1200FT 29003KT,ENBR,2022-10-22T02:50:00Z,60.28,5.22,8.0,7.0,40,3,,4.97,29.763779,,,TRUE,,,,,,,-DZ,BKN,1900,OVC,3800,,,,,MVFR,,,,,,,,,,,,METAR,49.0
